version_label,case_group,test_id,test_name,input_repr,status,sha256,size,exception_type,exception_message,repeat_count,final_result,success_runs,exception_runs,unique_sha256_count
PY-03,basic,BASIC-01,None type - None,None,SUCCESS,8ce86a6ae65d3692e7305e2c58ac62eebd97d3d943e093f577da25c36988246b,1,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-02,Boolean type - True,True,SUCCESS,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,1,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-03,Boolean type - False,False,SUCCESS,f67ab10ad4e4c53121b6a5fe4da9c10ddee905b978d3788d2723d7bfacbe28a9,1,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-04,Small integer - 0,0,SUCCESS,e8ebd827d1f36d7cfa5e5220610aa6370284d1589989363f48ac40166362d449,5,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-05,Small integer - 1,1,SUCCESS,59e562517a08b1f9edb930c1553aaf2e6947c1000705dfa4ed20b03b29363da1,5,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-06,Small integer - -1,-1,SUCCESS,72aea108d59af9a3db0854601259c9d9a62dce69f656f4a3f4e451500fb85a1f,5,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-07,Large integer - 2**31,2147483648,SUCCESS,70f286d27bc1e55c830066343a8fe2489d76660e68b3a62cd943ad76d574aa4a,11,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-08,Large integer - 2**63,9223372036854775808,SUCCESS,95d4ad4027f527c14a76f13cf23b94c45272e82a4be8407bbab87cbc83522728,15,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-09,Large integer - -2**63,-9223372036854775808,SUCCESS,1d14c0165fb31ea4cbd0bb1b47e51ff68e5b351ac4e805209bc25b8a011c9e8a,15,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-10,Very large integer - 2**100,1267650600228229401496703205376,SUCCESS,93133aef5016fb3e75f0e91c81f629b6103091b160d1a763b384818a7d0fca79,19,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-11,Very large negative integer - -2**100,-1267650600228229401496703205376,SUCCESS,382e56d74f5468fbdd23d4f4abf37cd3fe7fb3cfc3bdcacf8764fc697709a369,19,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-12,Normal string - hello,'hello',SUCCESS,f27068260acda9a05a6477f17da12f844bca8f00a8ac15381de59fd1add44945,7,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-13,Empty string,'',SUCCESS,153d812467db095632c6583da7f82cf7ad1e3f9ef18b6358c10f28d2804822f4,2,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-14,Long normal string,'aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa...<truncated>,SUCCESS,5659b07be1e193edb6fdf058b6fbb79b46da7ea90122ab0f793fb9a2d1add908,10005,,,10,STABLE_SUCCESS,10,0,1
PY-03,basic,BASIC-15,Unicode string - Chinese and emoji,'中文😀',SUCCESS,21069af945686d72a8f400f3df47b278b87a1772ea89952af8858b38c1d956a4,15,,,10,STABLE_SUCCESS,10,0,1
